episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
0.0,0.0,0.0,189.5,2,0,1000,1000,False,2,1,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-11,1635478991,1.3781015872955322,1.3781015872955322,94759,kevin-MS-7C95,10.0.10.216,1.3781015872955322,0,1,53929_00000,"[0.0, 0.0]","[296, 83]",0.08443352225777152,0.813537306123442,0.03419222531618772,0.1017127956424679,0.0,0.171,187454.927,110.085,290.685,1000,1000,32,32,1000,1,10.05,92.05,"[-0.00857495  0.16852993  0.22167599  0.20489258  0.03586426  0.18580252
  0.12159773  0.23640291  0.08923127  0.3375668   0.19763815  0.27190715
  0.22071585  0.21525678  0.2407166   0.3957499   0.35064024  0.18580252
  0.18758531  0.06001883  0.34566677  0.22656737  0.21221283  0.26411474
  0.26973313  0.1629913   0.1759888   0.08647707  0.22967228  0.1298388
  0.13299173  0.05360269]",0.0005000000237487257,0.06448534,-0.10802542,0.28456795,0.19402742
0.0,0.0,0.0,432.25,2,0,2000,2000,False,4,2,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-14,1635478994,3.7593650817871094,5.137466669082642,94759,kevin-MS-7C95,10.0.10.216,5.137466669082642,0,2,53929_00000,"[0.0, 0.0, 0.0, 0.0]","[296, 83, 1000, 350]",0.08461904669569709,0.8138718322193651,0.03459110356596024,0.10365544919276498,0.0,0.097,330097.708,6.899,4638.097,2000,2000,8032,8032,1504,2,17.466666666666665,93.18333333333332,"[ 1.1564655  -0.4222784  -0.03471661 -0.07455444 -0.23324108 -0.5851116
  0.11724257 -0.04472828 -0.05897427  0.15479088 -0.09002638 -0.39754725
  0.77569866 -0.0061605  -1.2662306  -0.26937008 -0.10145426  0.2576089
 -0.23324108  0.01704693 -0.07434559 -0.04326391 -0.18795967 -0.3833685
 -0.0185709  -0.4352188  -0.692646    0.20605087  0.12629604 -0.27731228
  0.26333904  0.7940607 ]",0.0005000000237487257,-7.7462773,-10.519795,-2.1738985,-0.06442876
10.0,0.0,0.9090909090909091,268.72727272727275,7,0,3000,3000,False,11,3,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-18,1635478998,3.7577085494995117,8.895175218582153,94759,kevin-MS-7C95,10.0.10.216,8.895175218582153,0,3,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237]",0.08472941538942781,0.816756689877513,0.03477973610257284,0.10480120964087859,0.0,0.156,205697.667,8.031,3984.33,3000,3000,16032,16032,2512,4,21.300000000000004,93.2,"[ 6.9242764e-01 -2.2948980e-01 -2.0321369e-02  4.9707699e-01
  4.3660736e-01  3.8985920e-01 -2.4485588e-04  2.4949217e-01
  2.1333766e-01 -9.4544888e-02  4.8247623e-01  5.5101681e-01
  4.1693306e-01 -3.6751270e-02  1.3901472e-01  1.7436862e-02
 -1.6308248e-01  6.9039464e-01  4.0090752e-01 -1.2383461e-03
 -4.8303604e-03 -1.8389988e-01  5.1194191e-01  3.0329704e-01
 -6.3800335e-02 -8.9019775e-02 -1.9564247e-01  3.1561852e-01
  6.6924477e-01  4.2444825e-01  3.3527780e-01  4.6288967e-01]",0.0005000000237487257,-6.3056984,-9.509136,-1.9102299,0.22240104
10.0,0.0,0.625,243.6875,5,0,4000,4000,False,16,4,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-22,1635479002,3.6633012294769287,12.558476448059082,94759,kevin-MS-7C95,10.0.10.216,12.558476448059082,0,4,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230]",0.08457805585824127,0.8145841197303616,0.03473487578990996,0.10463029694692066,0.0,0.114,281143.125,7.379,4336.767,4000,4000,24032,24032,3520,6,19.619999999999997,93.66,"[ 0.19976425  0.54126024  0.31182742 -0.41141605 -0.11021328 -0.0031929
 -0.16320395  0.53774405  0.12769318  0.319021    0.6200495  -0.72867906
  0.4030547  -0.11952305  0.69331026  0.87812805  0.5325737   0.3679204
  0.6359961   0.2928207  -0.00828886  0.05153561 -0.7572808  -0.20311737
  0.98422     0.07622313  0.6673913   0.41039515 -0.00804067  0.23064518
 -0.24308968 -0.34437656]",0.0005000000237487257,-6.0299444,-9.943341,-2.1249158,0.180661
10.0,0.0,0.4166666666666667,206.54166666666666,8,0,5000,5000,False,24,5,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-26,1635479006,3.5924832820892334,16.150959730148315,94759,kevin-MS-7C95,10.0.10.216,16.150959730148315,0,5,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230, 207, 76, 192, 73, 221, 144, 70, 75]",0.0841357167533315,0.809256692541935,0.03455797548204687,0.10413591225278641,0.0,0.136,234605.363,7.749,4129.611,5000,5000,32032,32032,4528,8,19.53333333333333,93.96666666666665,"[-0.04515743  0.09930182  0.30840588  0.04314899 -0.25126767 -0.338058
  0.09708762 -0.09829473 -0.08495045 -0.09894466 -0.13857436 -0.09106779
  0.19444942 -0.14063323  0.24028301 -0.12936783  0.13837051 -0.05404282
  0.3909502  -0.03577089  0.33963096 -0.13054371 -0.0552454   0.34609032
  0.20685768 -0.08483505 -0.05338669  0.21877241  0.01280296 -1.0321285
 -0.07176781 -0.07065868]",0.0005000000237487257,-5.9600315,-9.078481,-1.6171162,-0.011516996
10.0,0.0,0.29411764705882354,172.58823529411765,10,0,6000,6000,False,34,6,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-29,1635479009,3.690537691116333,19.84149742126465,94759,kevin-MS-7C95,10.0.10.216,19.84149742126465,0,6,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230, 207, 76, 192, 73, 221, 144, 70, 75, 112, 52, 125, 72, 129, 151, 89, 65, 39, 77]",0.08393327549386219,0.8051561350537658,0.03443798123160132,0.1039249257331678,0.0,0.125,255604.129,7.5,4266.393,6000,6000,40032,40032,5536,10,23.5,94.32000000000001,"[ 0.08868408 -0.32185555  0.06651211 -0.00839949  0.11057758  0.13890266
 -0.0535965  -0.8631773  -0.2702136  -0.14343023  0.19470072  0.23799038
  0.15136045 -0.02929306  0.07111573 -0.1749773   0.23355591  0.08120441
  0.06451035  0.00867462  0.11059439 -0.29702425  0.04218721 -0.19676495
  0.11405206 -0.680886    0.00972426  0.09918571 -0.15889072  0.06246638
  0.05643368  0.12654352]",0.0005000000237487257,-4.8982835,-8.747432,0.8701825,-0.0352979
10.0,0.0,0.21739130434782608,149.67391304347825,12,0,7000,7000,False,46,7,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-33,1635479013,3.810482978820801,23.65198040008545,94759,kevin-MS-7C95,10.0.10.216,23.65198040008545,0,7,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230, 207, 76, 192, 73, 221, 144, 70, 75, 112, 52, 125, 72, 129, 151, 89, 65, 39, 77, 138, 32, 218, 51, 40, 121, 70, 37, 51, 56, 86, 117]",0.08392050264111126,0.80327295131422,0.03437471918736194,0.10386597207375493,0.0,0.113,283458.771,7.572,4226.119,7000,7000,48032,48032,6544,12,23.3,94.72,"[-0.10590649 -0.32002476  0.32932234  0.29745388 -0.5008688   0.32095718
 -0.4511757   0.45811272  0.14376903 -0.29669762 -0.06727946  0.11382484
 -0.07913971 -0.02322332 -0.23225975 -0.7438154   0.29125857  0.11131644
  0.15245342 -0.16053915  0.12658143 -0.1778543   0.00409722  0.39232823
 -0.00614214  0.08436704 -0.5515356  -0.5406661  -0.65668964  0.3213749
  0.43280435 -0.25740147]",0.0005000000237487257,-4.8564014,-9.083923,0.11412016,-0.04972493
10.0,0.0,0.3448275862068966,136.25862068965517,12,0,8000,8000,False,58,8,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-37,1635479017,3.698848009109497,27.350828409194946,94759,kevin-MS-7C95,10.0.10.216,27.350828409194946,0,8,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230, 207, 76, 192, 73, 221, 144, 70, 75, 112, 52, 125, 72, 129, 151, 89, 65, 39, 77, 138, 32, 218, 51, 40, 121, 70, 37, 51, 56, 86, 117, 136, 187, 37, 17, 80, 39, 203, 38, 53, 48, 156, 24]",0.08387244600687677,0.8018939515864486,0.0343166837130169,0.10373187627297796,0.0,0.115,277998.608,7.047,4540.81,8000,8000,56032,56032,7552,14,19.533333333333335,94.76666666666667,"[ 0.220227   -0.01083755  0.08651066  0.12547779  0.02374089  0.01277149
 -0.30194306  0.39239073 -0.14256787  0.40899563 -0.7865026   0.33253384
 -0.29815388  0.02684259  0.20713472 -0.00195503  0.00764322  0.04909229
  0.12973613  0.23559093  0.48562264  0.30896854  0.35042262  0.27800417
 -0.5792513  -0.22336626  0.05405951 -0.26507142  0.6047282   0.3824916
  0.05504572  0.22332585]",0.0005000000237487257,-3.6816733,-7.528873,-0.38502362,0.07474087
10.0,0.0,0.43478260869565216,130.0,11,0,9000,9000,False,69,9,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-41,1635479021,3.7044260501861572,31.055254459381104,94759,kevin-MS-7C95,10.0.10.216,31.055254459381104,0,9,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230, 207, 76, 192, 73, 221, 144, 70, 75, 112, 52, 125, 72, 129, 151, 89, 65, 39, 77, 138, 32, 218, 51, 40, 121, 70, 37, 51, 56, 86, 117, 136, 187, 37, 17, 80, 39, 203, 38, 53, 48, 156, 24, 131, 61, 20, 198, 72, 50, 207, 58, 23, 197, 50]",0.08382261104475752,0.8007618113767038,0.03426909203216731,0.10360254981210364,0.0,0.126,254682.596,7.189,4451.371,9000,9000,64032,64032,8560,16,20.54,94.88,"[ 0.31951523 -0.3944651  -0.02472514  0.0635922   0.13238573  0.14605236
  0.02319407  0.37034082 -0.4057684   0.15844488  0.03944063  0.18092489
  0.5063038  -0.08591482 -0.2019012  -0.11439496  0.45206308 -0.08462024
 -0.03963733  0.3277012  -0.06182289  0.18036604 -0.16218941  0.35341024
  0.17142558  0.10493398  0.02102017  0.17154181  0.355752    0.02047517
  0.24807882  0.6172013 ]",0.0005000000237487257,-3.1519892,-7.054928,-0.030025473,0.10589765
10.0,0.0,0.5,124.775,11,0,10000,10000,False,80,10,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-44,1635479024,3.6254093647003174,34.68066382408142,94759,kevin-MS-7C95,10.0.10.216,34.68066382408142,0,10,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230, 207, 76, 192, 73, 221, 144, 70, 75, 112, 52, 125, 72, 129, 151, 89, 65, 39, 77, 138, 32, 218, 51, 40, 121, 70, 37, 51, 56, 86, 117, 136, 187, 37, 17, 80, 39, 203, 38, 53, 48, 156, 24, 131, 61, 20, 198, 72, 50, 207, 58, 23, 197, 50, 311, 48, 57, 88, 99, 28, 62, 79, 183, 29, 28]",0.08373933625776042,0.799550396421074,0.034211647553215443,0.10343686226580676,0.0,0.116,276737.584,7.366,4344.22,10000,10000,72032,72032,9568,18,19.06,94.92,"[ 2.0637608e-01  2.0000818e+00 -7.7218652e-02 -2.0689338e-01
 -1.0351372e-01  3.0355453e-02 -2.0572633e-02  1.2768555e-01
 -1.9018507e-01  2.0566702e-01 -4.6454763e-01  6.9698282e-02
  6.3304424e-02  2.8720379e-01 -3.2259727e-01 -2.8925866e-02
  1.1796951e-03 -4.0298175e-02  8.5495472e-02  5.7096709e-02
 -4.9295425e-02  6.7069292e-02  7.0094585e-02  2.5249720e-01
  1.5958762e-01  3.0355453e-02 -2.3141646e-01  6.7069292e-02
  2.1694994e-01  1.0249254e-01 -5.8773041e-02 -3.6598384e-02]",0.0005000000237487257,-2.5808518,-6.5192213,1.2782454,0.07091951
10.0,0.0,0.43956043956043955,117.48351648351648,11,0,11000,11000,False,91,11,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-48,1635479028,3.710703134536743,38.391366958618164,94759,kevin-MS-7C95,10.0.10.216,38.391366958618164,0,11,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230, 207, 76, 192, 73, 221, 144, 70, 75, 112, 52, 125, 72, 129, 151, 89, 65, 39, 77, 138, 32, 218, 51, 40, 121, 70, 37, 51, 56, 86, 117, 136, 187, 37, 17, 80, 39, 203, 38, 53, 48, 156, 24, 131, 61, 20, 198, 72, 50, 207, 58, 23, 197, 50, 311, 48, 57, 88, 99, 28, 62, 79, 183, 29, 28, 58, 44, 147, 258, 26, 28, 28, 29, 29, 30, 32]",0.08368238614077797,0.7985199212273013,0.034170132314196654,0.10331235373808005,0.0,0.124,258409.18,7.321,4371.073,11000,11000,80032,80032,10576,20,20.25,95.0,"[ 0.11498547  0.02553484 -0.15085807  0.25942707  0.17020154  0.615417
 -0.04841243  0.10804737 -0.21537435  0.2077806   0.23889989  0.13264608
  0.34945077 -0.12664485 -0.02680135 -0.38750887  0.2666409  -0.08069038
  0.01122105  0.21299934  0.41173506 -0.10890496 -0.02310354 -0.17848945
 -0.03771988  0.09191233 -0.1321408   0.08803686 -0.2190361   0.06739357
  0.1752696  -0.15742056]",0.0005000000237487257,-1.7423784,-4.8565764,0.24586406,0.05170293
10.0,0.0,0.43478260869565216,121.42391304347827,1,0,12000,12000,False,92,12,a93f27f3ab8b419d8901a7061b5413c0,2021-10-28_22-43-52,1635479032,3.7021474838256836,42.09351444244385,94759,kevin-MS-7C95,10.0.10.216,42.09351444244385,0,12,53929_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[296, 83, 1000, 350, 367, 83, 271, 55, 51, 163, 237, 241, 245, 84, 143, 230, 207, 76, 192, 73, 221, 144, 70, 75, 112, 52, 125, 72, 129, 151, 89, 65, 39, 77, 138, 32, 218, 51, 40, 121, 70, 37, 51, 56, 86, 117, 136, 187, 37, 17, 80, 39, 203, 38, 53, 48, 156, 24, 131, 61, 20, 198, 72, 50, 207, 58, 23, 197, 50, 311, 48, 57, 88, 99, 28, 62, 79, 183, 29, 28, 58, 44, 147, 258, 26, 28, 28, 29, 29, 30, 32, 480]",0.08367614687669261,0.7984349647297364,0.034166833301057034,0.10330290365936615,0.0,0.162,196973.478,8.744,3659.552,12000,12000,88032,88032,11584,22,19.4,95.38000000000001,"[-0.46018013 -0.03305101  0.1160703  -0.06450057  0.07365942  0.54859567
 -0.9414929   0.02137756  0.02275515 -0.54822344 -0.26194668 -0.16346693
 -0.02405256 -0.05733357  0.07827252  0.03178638 -0.37726498 -0.28729916
 -0.05773625  0.05393669  0.03027284 -0.02405256 -0.76781225 -0.25949645
 -0.17892149  0.14938283 -0.08835632  0.24617028 -0.03129844 -0.13013339
  0.38647246 -0.3914028 ]",0.0005000000237487257,-1.5869546,-7.2994065,1.1754987,-0.10591468
